"Данные","Тип","Из","В","Метки","Сумма","Валюта","Сумма в др.валюте","Др.валюта","Повторение","Заметка"
"14.07.2020","Расход","Тинькофф","Развлечения","","600","RUB","600","RUB","Нет","Wakeboard (Эдику)"
"14.07.2020","Расход","Тинькофф","Транспорт","Такси","95","RUB","95","RUB","Нет",""
"15.07.2020","Перевод","Cash","Тинькофф","","1000","RUB","1000","RUB","Нет","Дал Славе наличные, он потом перевёл на Тинькофф"
"15.07.2020","Расход","Тинькофф","Квартплата/Интернет","","640","RUB","640","RUB","Нет","Ростелеком "
"17.07.2020","Расход","Тинькофф","Еда","Доставка еды","587","RUB","587","RUB","Нет",""
"18.07.2020","Расход","Тинькофф","Транспорт","Такси","209","RUB","209","RUB","Нет",""
"18.07.2020","Расход","Тинькофф","Транспорт","ЖД","694","RUB","694","RUB","Нет",""
"18.07.2020","Расход","Тинькофф","Еда","","140","RUB","140","RUB","Нет","Выборг (рынок)"
"18.07.2020","Расход","Тинькофф","Еда","","230","RUB","230","RUB","Нет","Выборг (рынок)"
"18.07.2020","Расход","Тинькофф","Еда","","280","RUB","280","RUB","Нет","Выборг (дары Армении)"
"18.07.2020","Расход","Тинькофф","Еда","","90","RUB","90","RUB","Нет","Мороженое Монрепо "
"18.07.2020","Расход","Тинькофф","Транспорт","Такси","158","RUB","158","RUB","Нет",""
"18.07.2020","Расход","Тинькофф","Транспорт","ЖД","656","RUB","656","RUB","Нет",""
"18.07.2020","Расход","Cash","Продукты","","62","RUB","62","RUB","Нет","Зелёный лук на Уделка"
"18.07.2020","Расход","Тинькофф","Еда","","50","RUB","50","RUB","Нет","Спрайт"
"18.07.2020","Расход","Тинькофф","Продукты","","26","RUB","26","RUB","Нет","Багет на уделке"
"18.07.2020","Расход","Тинькофф","Продукты","","1652,44","RUB","1652,44","RUB","Нет",""
"20.07.2020","Перевод","ФТИ","Сбербанк","","8570","RUB","8570","RUB","Нет","Зарплата"
"20.07.2020","Перевод","Сбербанк","Тинькофф","","8570","RUB","8570","RUB","Нет","Перевод зарплаты ФТИ "
"21.07.2020","Расход","Тинькофф","Медицина","","266","RUB","266","RUB","Нет","Зуб паста в аптеке"
"21.07.2020","Расход","Тинькофф","Продукты","","1868,2","RUB","1868,2","RUB","Нет",""
"23.07.2020","Расход","Тинькофф","Транспорт","Такси","108","RUB","108","RUB","Нет",""
"23.07.2020","Расход","Тинькофф","Медицина","","27816","RUB","27816","RUB","Нет","Лечение верхней левой семерки в Райдене на Энгельса. Пульпит, нестраховой случай"
"23.07.2020","Расход","Тинькофф","Медицина","","79,5","RUB","79,5","RUB","Нет","Нурофен для зуба "
"25.07.2020","Расход","Тинькофф","Подарки","","609,64","RUB","609,64","RUB","Нет","Фрукты в пятерочке, ходили к ребятам"
"25.07.2020","Расход","Тинькофф","Транспорт","Такси","233","RUB","233","RUB","Нет",""
"25.07.2020","Расход","Тинькофф","Транспорт","Такси","197","RUB","197","RUB","Нет",""
"25.07.2020","Перевод","ALM","Сбербанк","","52826","RUB","52826","RUB","Нет",""
"25.07.2020","Перевод","Сбербанк","Тинькофф","","52826","RUB","52826","RUB","Нет",""
"25.07.2020","Расход","Тинькофф","Транспорт","Такси","158","RUB","158","RUB","Нет",""
"26.07.2020","Расход","Тинькофф","Продукты","","972,79","RUB","972,79","RUB","Нет",""
"26.07.2020","Расход","Cash","Транспорт","","44","RUB","44","RUB","Нет",""
"26.07.2020","Расход","Тинькофф","Транспорт","","170","RUB","170","RUB","Нет","Славе за такси до вейк станции + за пончик"
"27.07.2020","Расход","Тинькофф","Развлечения","","1200","RUB","1200","RUB","Нет","Wakeboard "
"27.07.2020","Расход","Тинькофф","Подарки","","1666,67","RUB","1666,67","RUB","Нет","Эдику за подарочную карту для Шпирко (5тр) и за пиццу из форнобраво (3тр)"
"27.07.2020","Расход","Тинькофф","Транспорт","Такси","96","RUB","96","RUB","Нет",""
"28.07.2020","Расход","Тинькофф","Транспорт","Такси","124","RUB","124","RUB","Нет",""
"28.07.2020","Расход","Cash","Транспорт","","45","RUB","45","RUB","Нет",""
"28.07.2020","Перевод","Тинькофф","Cash","","1000","RUB","1000","RUB","Нет",""
"29.07.2020","Расход","Тинькофф","Продукты","","1218,33","RUB","1218,33","RUB","Нет",""
"30.07.2020","Расход","Тинькофф","Медицина","","3858,3","RUB","3858,3","RUB","Нет","Гель, нить, полоскалки, щетки для зубов"
"30.07.2020","Расход","Тинькофф","Продукты","","787,29","RUB","787,29","RUB","Нет",""
"31.07.2020","Расход","Тинькофф","Транспорт","Такси","318","RUB","318","RUB","Нет",""
"31.07.2020","Расход","Тинькофф","Развлечения","","800","RUB","800","RUB","Нет","Эдику за вейк"
"01.08.2020","Расход","Тинькофф","Транспорт","Такси","190","RUB","190","RUB","Нет",""
"01.08.2020","Расход","Cash","Продукты","","700","RUB","700","RUB","Нет","Грибы и др. на Уделке "
"01.08.2020","Расход","Тинькофф","Продукты","","190","RUB","190","RUB","Нет","Лаваш и хачапури на Уделке "
"01.08.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет","Метро"
"01.08.2020","Расход","Cash","Транспорт","","45","RUB","45","RUB","Нет",""
"02.08.2020","Расход","Тинькофф","Транспорт","Такси","204","RUB","204","RUB","Нет",""
"02.08.2020","Перевод","Тинькофф","Cash","","1900","RUB","1900","RUB","Нет",""
"02.08.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"02.08.2020","Расход","Cash","Продукты","","1750","RUB","1750","RUB","Нет","Черника, клубника и грибы на Уделке "
"02.08.2020","Расход","Cash","Транспорт","","45","RUB","45","RUB","Нет",""
"02.08.2020","Расход","Тинькофф","Продукты","","150","RUB","150","RUB","Нет","Хачапури на Уделке"
"02.08.2020","Расход","Тинькофф","Транспорт","Такси","180","RUB","180","RUB","Нет",""
"05.08.2020","Расход","Cash","Транспорт","","50","RUB","50","RUB","Нет",""
"06.08.2020","Расход","Тинькофф","Развлечения","","500","RUB","500","RUB","Нет","Батут"
"06.08.2020","Расход","Тинькофф","Другое","","2299","RUB","2299","RUB","Нет","Половина за лего на др Бута (Шпирко перевёл вторую половину)"
"06.08.2020","Расход","Cash","Транспорт","","50","RUB","50","RUB","Нет",""
"06.08.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"06.08.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"06.08.2020","Расход","Cash","Продукты","","523","RUB","523","RUB","Нет","Вишня, черешня на площади Мужества"
"06.08.2020","Перевод","Вклад","Сбербанк Deposit","Капитализация (сбербанк)","2494,6","RUB","2494,6","RUB","Нет",""
"06.08.2020","Перевод","ФТИ","Сбербанк Deposit","","27202","RUB","27202","RUB","Нет",""
"08.08.2020","Перевод","Тинькофф","Cash","","1900","RUB","1900","RUB","Нет",""
"08.08.2020","Расход","Тинькофф","Продукты","","2978,06","RUB","2978,06","RUB","Нет",""
"08.08.2020","Расход","Тинькофф","Другое","","352,13","RUB","352,13","RUB","Нет","Фрукты Буту на др "
"08.08.2020","Расход","Тинькофф","Charity","","500","RUB","500","RUB","Нет","Через мтс 3434"
"08.08.2020","Расход","Cash","Транспорт","","50","RUB","50","RUB","Нет",""
"09.08.2020","Расход","Тинькофф","Транспорт","Такси","198","RUB","198","RUB","Нет",""
"09.08.2020","Расход","Тинькофф","Транспорт","Такси","150","RUB","150","RUB","Нет",""
"10.08.2020","Расход","Тинькофф","Квартплата/Интернет","","550","RUB","550","RUB","Нет",""
"10.08.2020","Перевод","ALM","Сбербанк Deposit","","247262,7","RUB","247262,7","RUB","Нет","ЗП + бонус (0.87 * 1400$) + премия за 1,2 кварталы (52100?)"
"10.08.2020","Расход","Cash","Продукты","","600","RUB","600","RUB","Нет","Черника на Уделке (покупала Ася)"
"10.08.2020","Перевод","Вклад","Тинькофф Депозит 6 мес (main)","Капитализация (тинькофф)","190,57","RUB","190,57","RUB","Нет",""
"10.08.2020","Перевод","Вклад","Тинькофф Депозит 8 мес","Капитализация (тинькофф)","190,57","RUB","190,57","RUB","Нет",""
"10.08.2020","Перевод","Вклад","Тинькофф Депозит 10 мес","Капитализация (тинькофф)","190,57","RUB","190,57","RUB","Нет",""
"10.08.2020","Перевод","Вклад","Тинькофф Депозит 12 мес","Капитализация (тинькофф)","190,57","RUB","190,57","RUB","Нет",""
"10.08.2020","Перевод","Вклад","Тинькофф Депозит 15 мес","Капитализация (тинькофф)","190,57","RUB","190,57","RUB","Нет",""
"10.08.2020","Перевод","Вклад","Тинькофф Депозит 18 мес","Капитализация (тинькофф)","190,57","RUB","190,57","RUB","Нет",""
"11.08.2020","Расход","Тинькофф","Продукты","","192,7","RUB","192,7","RUB","Нет",""
"12.08.2020","Перевод","Тинькофф","Инвесткопилка ?","","1000","RUB","1000","RUB","Нет","Тестовый взнос"
"12.08.2020","Расход","Cash","Транспорт","","45","RUB","45","RUB","Нет",""
"12.08.2020","Расход","Тинькофф","Другое","","1430","RUB","1430","RUB","Нет","Две книги, Лавкрафт, буквоед"
"12.08.2020","Расход","Cash","Транспорт","","45","RUB","45","RUB","Нет",""
"13.08.2020","Перевод","Сбербанк Deposit","Тинькофф","","15142,34","RUB","15142,34","RUB","Нет",""
"13.08.2020","Перевод","Тинькофф","Тинькофф НС $","","7400","RUB","100","USD","Нет",""
"13.08.2020","Расход","Тинькофф","Транспорт","Такси","408","RUB","408","RUB","Нет",""
"13.08.2020","Перевод","Другое","Тинькофф","Cashback/проценты НС","877,86","RUB","877,86","RUB","Нет",""
"14.08.2020","Расход","Тинькофф","Продукты","","1958,38","RUB","1958,38","RUB","Нет",""
"14.08.2020","Перевод","Сбербанк Deposit","Брокерский счет (тинькофф)","","100000","RUB","100000","RUB","Нет",""
"15.08.2020","Расход","Тинькофф","Транспорт","Такси","235","RUB","235","RUB","Нет",""
"15.08.2020","Расход","Тинькофф","Транспорт","ЖД","358","RUB","358","RUB","Нет",""
"16.08.2020","Расход","Тинькофф","Квартплата/Интернет","","640","RUB","640","RUB","Нет","Интернет"
"16.08.2020","Расход","Тинькофф","Транспорт","Такси","280","RUB","280","RUB","Нет",""
"16.08.2020","Расход","Тинькофф","Еда","","375","RUB","375","RUB","Нет","Макдак"
"16.08.2020","Расход","Cash","Другое","","30","RUB","30","RUB","Нет","WC в парке на Крестовском"
"16.08.2020","Расход","Тинькофф","Продукты","","77,8","RUB","77,8","RUB","Нет",""
"16.08.2020","Расход","Тинькофф","Еда","","33","RUB","33","RUB","Нет","Вода в метро"
"16.08.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"16.08.2020","Расход","Тинькофф","Развлечения","","390","RUB","390","RUB","Нет","Велосипед на 2 часа"
"16.08.2020","Расход","Тинькофф","Транспорт","Такси","172","RUB","172","RUB","Нет",""
"17.08.2020","Расход","Тинькофф","Charity","","200","RUB","200","RUB","Нет",""
"17.08.2020","Расход","Тинькофф","Путешествия","","5892","RUB","5892","RUB","Нет","Авиабилет в Анапу"
"17.08.2020","Расход","Cash","Транспорт","","44","RUB","44","RUB","Нет",""
"17.08.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"17.08.2020","Расход","Тинькофф","Транспорт","Такси","170","RUB","170","RUB","Нет",""
"18.08.2020","Расход","Тинькофф","Продукты","","137,94","RUB","137,94","RUB","Нет",""
"18.08.2020","Расход","Сбербанк Deposit","Квартплата/Интернет","ЖКУ","4977,6","RUB","4977,6","RUB","Нет",""
"18.08.2020","Перевод","Сбербанк Deposit","Тинькофф","","50000","RUB","50000","RUB","Нет","На поездку в Анапу"
"19.08.2020","Расход","Cash","Путешествия","","45","RUB","45","RUB","Нет","Маршрутка "
"19.08.2020","Расход","Тинькофф","Путешествия","","55","RUB","55","RUB","Нет","Метро"
"19.08.2020","Расход","Тинькофф","Путешествия","","50","RUB","50","RUB","Нет","Автобус в аэропорт"
"19.08.2020","Расход","Тинькофф","Путешествия","","90","RUB","90","RUB","Нет","Вода в аэропорту"
"19.08.2020","Расход","Тинькофф","Путешествия","","58","RUB","58","RUB","Нет","Снежок и тд в магазине "
"19.08.2020","Расход","Cash","Путешествия","","90","RUB","90","RUB","Нет",""
"19.08.2020","Расход","Cash","Путешествия","","110","RUB","110","RUB","Нет","Автобус из аэропорта"
"19.08.2020","Перевод","Брокерский счет (тинькофф)","Тинькофф","","85272,96","RUB","85272,96","RUB","Нет","Продажа 14 акций Яндекса и ещё чего-то"
"19.08.2020","Расход","Тинькофф","Путешествия","Такси","154","RUB","154","RUB","Нет","С автовокзала до Крымской 18"
"19.08.2020","Перевод","ALM","Сбербанк Deposit","","67906,12","RUB","67906,12","RUB","Нет","Отпускные на 8 рабочих дней с 19.08 до 30.08, выплаченные 19 числа"
"20.08.2020","Расход","Cash","Путешествия","","280","RUB","280","RUB","Нет","Завтрак"
"20.08.2020","Расход","Тинькофф","Путешествия","","85","RUB","85","RUB","Нет",""
"20.08.2020","Расход","Тинькофф","Путешествия","","431,25","RUB","431,25","RUB","Нет","Обед"
"20.08.2020","Перевод","Другое","Cash","","100","RUB","100","RUB","Нет","От папы на шашлык "
"20.08.2020","Расход","Тинькофф","Путешествия","","507,29","RUB","507,29","RUB","Нет","Перекрёсток в Анапе на высоком берегу"
"20.08.2020","Перевод","Другое","Cash","","200","RUB","200","RUB","Нет","От папы за перекрёсток"
"20.08.2020","Расход","Cash","Путешествия","","240","RUB","240","RUB","Нет","Арбуз и суджук (440?, папа дал 200)"
"20.08.2020","Перевод","ФТИ","Сбербанк Deposit","","8570","RUB","8570","RUB","Нет","ЗП ФТИ"
"21.08.2020","Расход","Тинькофф","Путешествия","","164","RUB","164","RUB","Нет","Завтрак"
"21.08.2020","Расход","Тинькофф","Путешествия","","195","RUB","195","RUB","Нет","Такси до чебуречной"
"21.08.2020","Перевод","Другое","Cash","","100","RUB","100","RUB","Нет","От папы за такси"
"21.08.2020","Расход","Тинькофф","Путешествия","","545","RUB","545","RUB","Нет","Обед в узбекской "
"21.08.2020","Расход","Тинькофф","Путешествия","","80","RUB","80","RUB","Нет","Вода, мороженое "
"21.08.2020","Расход","Тинькофф","Путешествия","","9999","RUB","9999","RUB","Нет","Билет Анапа Спб 30.08.2020"
"21.08.2020","Расход","Тинькофф","Путешествия","","150","RUB","150","RUB","Нет","Кондитерская"
"22.08.2020","Расход","Тинькофф","Путешествия","","475","RUB","475","RUB","Нет","Обед"
"22.08.2020","Расход","Тинькофф","Путешествия","","30","RUB","30","RUB","Нет","Вода"
"22.08.2020","Расход","Тинькофф","Путешествия","","55","RUB","55","RUB","Нет","Мороженое "
"22.08.2020","Расход","Тинькофф","Путешествия","","270","RUB","270","RUB","Нет","Завтрак"
"23.08.2020","Расход","Тинькофф","Путешествия","","97","RUB","97","RUB","Нет","Такси до Бельведера перед 800 ступеней"
"23.08.2020","Расход","Тинькофф","Путешествия","","346,12","RUB","346,12","RUB","Нет","Перекрёсток "
"23.08.2020","Расход","Тинькофф","Путешествия","","545","RUB","545","RUB","Нет","Мясо в Анапе на рынке"
"23.08.2020","Расход","Тинькофф","Путешествия","","229","RUB","229","RUB","Нет","Ещё мясо в Анапе на рынке"
"24.08.2020","Расход","Cash","Путешествия","","100","RUB","100","RUB","Нет","Пирс"
"24.08.2020","Расход","Тинькофф","Путешествия","","160","RUB","160","RUB","Нет","Завтрак"
"24.08.2020","Расход","Тинькофф","Путешествия","Такси","129","RUB","129","RUB","Нет",""
"24.08.2020","Расход","Cash","Путешествия","","30","RUB","30","RUB","Нет","Добавил на котлеты в обед "
"24.08.2020","Расход","Cash","Путешествия","","35","RUB","35","RUB","Нет","Квас"
"24.08.2020","Расход","Тинькофф","Путешествия","","130","RUB","130","RUB","Нет","Мороженое, вода"
"24.08.2020","Расход","Тинькофф","Путешествия","","37","RUB","37","RUB","Нет","Вода"
"24.08.2020","Расход","Cash","Путешествия","","35","RUB","35","RUB","Нет","Персики"
"25.08.2020","Расход","Тинькофф","Путешествия","","210","RUB","210","RUB","Нет","Завтрак"
"25.08.2020","Расход","Тинькофф","Путешествия","","110","RUB","110","RUB","Нет","Мороженое "
"25.08.2020","Расход","Тинькофф","Путешествия","","240","RUB","240","RUB","Нет","Персики на рынке"
"25.08.2020","Расход","Тинькофф","Путешествия","","518","RUB","518","RUB","Нет","Мясо на рынке"
"25.08.2020","Расход","Тинькофф","Путешествия","","150","RUB","150","RUB","Нет","Хачапури на Крымской "
"25.08.2020","Расход","Тинькофф","Путешествия","Такси","147","RUB","147","RUB","Нет",""
"25.08.2020","Расход","Тинькофф","Путешествия","","3000","RUB","3000","RUB","Нет","ПАРАПЛАН"
"25.08.2020","Расход","Тинькофф","Путешествия","","130,9","RUB","130,9","RUB","Нет","Перекрёсток "
"25.08.2020","Перевод","ALM","Сбербанк Deposit","","67500","RUB","67500","RUB","Нет","Аванс "
"26.08.2020","Расход","Тинькофф","Путешествия","","220","RUB","220","RUB","Нет","Завтрак "
"26.08.2020","Расход","Тинькофф","Путешествия","","49,99","RUB","49,99","RUB","Нет","Чай в магните"
"26.08.2020","Перевод","ФТИ","Сбербанк Deposit","","11789,32","RUB","11789,32","RUB","Нет","Похоже, отпускные на 19.08-30.08"
"27.08.2020","Расход","Тинькофф","Путешествия","Такси","160","RUB","160","RUB","Нет",""
"27.08.2020","Расход","Тинькофф","Путешествия","","227,8","RUB","227,8","RUB","Нет","Перекрёсток "
"27.08.2020","Расход","Тинькофф","Путешествия","","255","RUB","255","RUB","Нет","Завтрак "
"27.08.2020","Расход","Тинькофф","Путешествия","","525","RUB","525","RUB","Нет","Обед"
"27.08.2020","Расход","Тинькофф","Путешествия","","210","RUB","210","RUB","Нет","Персики и помидоры на рынке"
"27.08.2020","Расход","Тинькофф","Путешествия","","171","RUB","171","RUB","Нет","Сыр на рынке"
"28.08.2020","Расход","Тинькофф","Путешествия","","120","RUB","120","RUB","Нет","Завтрак "
"28.08.2020","Расход","Тинькофф","Путешествия","","42,5","RUB","42,5","RUB","Нет","Аптека (регидрон)"
"28.08.2020","Расход","Тинькофф","Путешествия","","248,97","RUB","248,97","RUB","Нет","Магнит"
"28.08.2020","Расход","Тинькофф","Путешествия","","1351","RUB","1351","RUB","Нет","Торты на др Марии"
"28.08.2020","Расход","Тинькофф","Путешествия","","1480","RUB","1480","RUB","Нет","Аптека (энтеросгель, альфа-нормикс)"
"29.08.2020","Перевод","Другое","Cash","","500","RUB","500","RUB","Нет","От папы за лекарства"
"29.08.2020","Расход","Тинькофф","Путешествия","","110","RUB","110","RUB","Нет","Мороженое"
"29.08.2020","Расход","Тинькофф","Путешествия","","448","RUB","448","RUB","Нет","Обед"
"29.08.2020","Расход","Тинькофф","Путешествия","","470,75","RUB","470,75","RUB","Нет","Ужин"
"30.08.2020","Расход","Тинькофф","Путешествия","","436","RUB","436","RUB","Нет","Такси до аэропорта"
"30.08.2020","Расход","Тинькофф","Путешествия","","50","RUB","50","RUB","Нет","Автобус из аэропорта"
"30.08.2020","Расход","Тинькофф","Путешествия","","55","RUB","55","RUB","Нет","Метро "
"30.08.2020","Расход","Тинькофф","Транспорт","Такси","207","RUB","207","RUB","Нет",""
"30.08.2020","Расход","Тинькофф","Транспорт","Такси","156","RUB","156","RUB","Нет",""
"30.08.2020","Перевод","Тинькофф","Тинькофф Депозит 6 мес (main)","","100000","RUB","100000","RUB","Нет",""
"31.08.2020","Перевод","Брокерский счет (тинькофф)","Тинькофф","","10","RUB","10","RUB","Нет","На брокерский счёт пришла корректировка налога"
"31.08.2020","Расход","Тинькофф","Еда","Доставка еды","1569","RUB","1569","RUB","Нет","Пицца Мона"
"02.09.2020","Расход","Тинькофф","Еда","Доставка еды","1569","RUB","1569","RUB","Нет","Пицца Мона"
"03.09.2020","Расход","Тинькофф","Charity","","200","RUB","200","RUB","Нет",""
"03.09.2020","Расход","Сбербанк Deposit","Музыка","Головин","9000","RUB","9000","RUB","Нет",""
"03.09.2020","Перевод","Другое","Тинькофф","","60","RUB","60","RUB","Нет","Сдача с покупки монитора (Мама перевела деньги)"
"04.09.2020","Расход","Тинькофф","Продукты","","1299,12","RUB","1299,12","RUB","Нет",""
"05.09.2020","Расход","Тинькофф","Транспорт","Такси","105","RUB","105","RUB","Нет",""
"05.09.2020","Расход","Тинькофф","Дом","","2313,1","RUB","2313,1","RUB","Нет","Леруа"
"05.09.2020","Расход","Тинькофф","Транспорт","Такси","143","RUB","143","RUB","Нет",""
"05.09.2020","Перевод","Вклад","Сбербанк Deposit","Капитализация (сбербанк)","2990,3","RUB","2990,3","RUB","Нет",""
"07.09.2020","Расход","Тинькофф","Еда","","3580","RUB","3580","RUB","Нет","Раки"
"07.09.2020","Перевод","ФТИ","Тинькофф","","3850","RUB","3850","RUB","Нет",""
"07.09.2020","Расход","Тинькофф","Продукты","","3600","RUB","3600","RUB","Нет","Асе за перекрёсток (два раза покупала она)"
